Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL3084504,545.0,O[C@@]1(c2cccc(Cl)c2Cl)C[C@H]2CC[C@@H](C1)N2Cc1c[nH]c2ccccc12
CHEMBL91549,85.0,CCN(C)CCc1c(-c2ccccc2)[nH]c2ccccc12
CHEMBL593745,251.19,Cn1c(CN2CCC(c3ccc(C(F)(F)F)cc3)CC2)nc2ccccc21
CHEMBL164979,39.0,CN(CCc1ccccc1)CC[C@H]1CC[C@H](Nc2ncccn2)CC1
CHEMBL516944,10000.0,O=C1CC(CN2CCN(C(=O)c3ccc(F)cc3)CC2)Cc2occc21
CHEMBL456673,1324000.0,COc1cccc(CCc2ccccc2OCCCCN2CCN(c3ccc(F)cc3)CC2)c1
CHEMBL267014,54000.0,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
CHEMBL267014,38000.0,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
CHEMBL252343,90.6,CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc3c(c2C1)CC(=O)N3
CHEMBL255163,590.0,FCCOc1cccc(CN2CCN(c3ccc(Cl)cc3)CC2)c1
CHEMBL109912,39.0,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)C[C@@H]2C)cc1Cl
CHEMBL246232,10000.0,NCC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
CHEMBL394065,120.0,FC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
CHEMBL2432050,10000.0,Fc1cccc(CCCN[C@H]2C3C4CC5C6C4CC3C6C52)c1
CHEMBL393275,1500.0,COc1cccc(CC2NCCc3c2[nH]c2ccc(OC)cc32)c1
CHEMBL240876,2000.0,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F
CHEMBL395458,2000.0,N#Cc1cc(F)ccc1/C=C/c1ccc(S(=O)(=O)c2ccccc2F)cn1
CHEMBL267930,0.12,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
CHEMBL139926,44.8,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1
CHEMBL379984,5000.0,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC(C)C)CC2)c1
CHEMBL238877,1000.0,CCC(=O)N(c1ccccc1OC)C1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1
CHEMBL238875,13350.0,COc1ccccc1N(C(C)=O)C1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1
CHEMBL239493,252.0,O=C(NCCCCN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1)c1ccc2ccccc2c1
CHEMBL241659,1000.0,O=C(NCCCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1)c1cc2ccccc2s1
CHEMBL596886,10000.0,C=CCOc1cccc2c1-c1cc(OC)cc3c1[C@@H](C2)N(C)CC3
CHEMBL597882,10000.0,CCCN1CCc2cccc3c2[C@H]1Cc1ccc2c(C)c(C)oc2c1-3
CHEMBL596678,10000.0,CC#CCOc1cccc2c1-c1cccc3c1[C@@H](C2)N(CCC)CC3
CHEMBL119455,208.0,CN1CCc2cccc3c2[C@H]1Cc1cccc(O)c1-3
CHEMBL239539,189.0,O=C(NCCCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1)C1CCCCC1
CHEMBL241631,48.0,C#Cc1ccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1
CHEMBL442093,300000.0,OC1CCc2ccc(/N=C/N3CCc4ccccc4C3)cc21
CHEMBL240021,54000.0,COc1cc2c(cc1OC)CN(/C=N/c1ccc3c(c1)N(C(=O)OC(C)(C)C)CC3)CC2
CHEMBL241281,2400.0,CC(=O)OC1CCCc2ccc(/N=C/N3CCc4ccccc4C3)cc21
CHEMBL67414,1000.0,CCN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2ccccc21
CHEMBL11388,100.0,CCCN1CC[C@@H]2Cc3c(cccc3OC)C[C@H]21
CHEMBL156651,0.05,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12
CHEMBL88365,246.0,Oc1cccc(N2CCN(Cc3ccccc3)CC2)c1
CHEMBL311730,217.0,CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1
CHEMBL225571,681.0,O=C(CCCCCN1CCN(c2ccccc2[N+](=O)[O-])CC1)NC1CCCc2ccccc21
CHEMBL228972,1000.0,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc2ccccc2c1
CHEMBL86183,501.19,CC(=O)Nc1cccc(/C=C/C(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(C#N)cc4CC3)CC2)c1F
CHEMBL298406,980.0,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21
CHEMBL106660,59.0,Clc1cccc(C(OC2CC3CCC(C2)N3CCCc2ccccc2)c2ccccc2)c1
CHEMBL281048,261.0,CN1CCc2ccc3c4c2[C@H]1Cc1cccc(c1-4)[C@H]3N
CHEMBL184724,10000.0,CC1CN(CCOc2ccccc2Cc2ccccc2)CCO1
CHEMBL301265,4.7,CCCN[C@H]1CCc2nc(N)sc2C1
CHEMBL22892,562.34,Oc1ccc(OCCNCCCOc2ccccc2)cc1
CHEMBL59,8.0,NCCc1ccc(O)c(O)c1
