Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL598515,7.0,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccc(N)cc3CC[C@@H]21,Scientific Literature,Binding affinity to dopamine D1 receptor,B,,,Bioorg Med Chem Lett,2010.0,Dopamine D1 receptor,Ki,nM,8.15,328.84,3.56
CHEMBL601635,152.0,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cc(CN4CCN(c5ccccn5)CC4)ccc3CC[C@@H]21,Scientific Literature,Binding affinity to dopamine D1 receptor,B,,,Bioorg Med Chem Lett,2010.0,Dopamine D1 receptor,Ki,nM,6.82,489.06,4.7
CHEMBL601634,2.3,CCC(=O)Nc1cccc2c1CC[C@H]1[C@H]2c2cc(O)c(Cl)cc2CCN1C,Scientific Literature,Binding affinity to dopamine D1 receptor,B,,,Bioorg Med Chem Lett,2010.0,Dopamine D1 receptor,Ki,nM,8.64,384.91,4.33
CHEMBL2420770,10000.0,Fc1ccccc1N1CCN(Cc2cccs2)CC1,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2013.0,Dopamine D1 receptor,Ki,nM,,276.38,3.21
CHEMBL13668,1.24,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1,BindingDB Patent Bioactivity Data,"Reception Binding Assay: Different concentrations (10^â5 M-10^â11 M) of the compound of the invention and corresponding isotope receptor ligand as well as receptor protein were loaded into the reaction tube and incubated in 30Â° C. water bath for 60 minutes. The reaction was terminated in a refrigerator. The reaction mixture was put in a Millipore filter (millipore) cell sample collector, filtered through suction filtration using GF/C glass fiber filter paper, and dried. The resulting sample was placed into 0.5 mL tube. 500 Î¼L liquid scintillation fluid was added and intensity of radioactivity was determined by counting. For dopamine D1 receptor: isotope receptor ligands [3H] SCH23390 (85.0 Ci/mmol) (D1-selective, purchased from Amersham Corporation), D1 receptor protein expressed in HEK-293 cells; For D2 dopamine receptor: isotope receptor ligands [3H] Spiperone (77.0 Ci/mmol) (D2-selective, purchased from Amersham Corporation); D2 receptor protein expressed in HEK-293 cells; For 5-HT1A receptor: isotope receptor ligands [3H] 8-OH-DPAT; 5-HT1A receptor protein expressed in HEK-293 cells; For 5-HT2A receptor: isotope receptor ligands [3H]-Ketanserin; 5-HT2A receptor protein expressed in HEK-293 cells.",B,,,,2016.0,Dopamine D1 receptor,Ki,nM,8.91,287.79,3.67
CHEMBL482496,500.0,[3H]C([3H])([3H])Oc1cc(I)c(OC)cc1CCNCc1ccccc1OC([3H])([3H])[3H],Scientific Literature,Binding affinity to dopamine D1 receptor,B,,,Bioorg Med Chem,2008.0,Dopamine D1 receptor,Ki,nM,,439.33,3.65
CHEMBL53,290.0,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,Scientific Literature,Displacement of [3H]SCH-23390 from human dopamine D1 receptor expressed in HEK293 cells,B,Homo sapiens,,Bioorg Med Chem,2008.0,Dopamine D1 receptor,Ki,nM,6.54,267.33,2.85
CHEMBL380330,22.91,COc1ccc2c(c1)CCN(C)CCc1ccccc1C2,Scientific Literature,Displacement of [3H]SCH23390 from human cloned dopamine D1 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2008.0,Dopamine D1 receptor,Ki,nM,7.64,281.4,3.32
CHEMBL71600,6.0,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2cccc3ccoc23)C1,Scientific Literature,Binding affinity to displace [3H]-SCH- 23390 against Dopamine receptor D1,B,,,J Med Chem,1990.0,Dopamine D1 receptor,Ki,nM,8.22,327.81,4.41
CHEMBL562460,1340.0,CCN1CCc2cc(C)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl,Scientific Literature,Displacement of [3H]SCH23390 from dopamine D1 receptor expressed in Ltk deficient fibroblast cells by liquid scintillation counting,B,,,Bioorg Med Chem,2009.0,Dopamine D1 receptor,Ki,nM,5.87,331.84,3.55
