Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL310082,1000.0,NC(=O)c1ccc2c(c1)CCOC2CCN1CC=C(c2ccc3cc(F)ccc3c2)CC1,Scientific Literature,Binding affinity towards human 5-hydroxytryptamine 1B receptor in L-M(tk-) cells using [3H]GR-125743 as radioligand,B,,,Bioorg Med Chem Lett,2004,Serotonin 1b (5-HT1b) receptor,Ki,nM,,430.52,4.87
CHEMBL97637,316.23,O=S(=O)(Nc1ccc2nccc(N3CCNCC3)c2c1)c1ccc(-c2ccccc2)cc1,Scientific Literature,Binding affinity to human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT as radioligand,B,Homo sapiens,,Bioorg Med Chem Lett,2001,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.5,444.56,4.11
CHEMBL107772,150.0,Cc1ccccc1N1CCN(C(=O)Oc2ccc(Cl)c(N3CCN(C)CC3)c2)CC1.O=C(O)/C=C/C(=O)O,Scientific Literature,Affinity for 5-hydroxytryptamine 1B receptor subtype,B,Homo sapiens,,Bioorg Med Chem Lett,1997,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.82,545.04,3.72
CHEMBL292759,398.11,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,Scientific Literature,Compound was tested for its binding affinity against human cloned 5-hydroxytryptamine 1B receptor in CHO cells using [3H]5-HT,B,,,J Med Chem,1999,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.4,440.36,3.01
CHEMBL323986,1.8,COc1ccc(NC(=O)N2CCN(c3ccc(C)cc3C)CC2)cc1N1CCN(C)CC1.O=C(O)/C=C/C(=O)O,Scientific Literature,Affinity for 5-hydroxytryptamine 1B receptor subtype,B,Homo sapiens,,Bioorg Med Chem Lett,1997,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.74,553.66,3.42
CHEMBL73943,10000.0,CCCCc1ccc(CC2=NCCN2)cc1,Scientific Literature,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT trifluoroacetate as radioligand,B,,,J Med Chem,1998,Serotonin 1b (5-HT1b) receptor,Ki,nM,,216.33,2.57
CHEMBL1910792,120.0,COc1ccc(NC(=O)c2ccc3c(c2)N(C)C(=O)CN3c2ccc(Cl)c(Cl)c2)cc1N1CCN(C)CC1,Scientific Literature,Displacement of [3H]carboxytryptamine from recombinant human 5-HT1B receptor expressed in HEK cells by scintillation counting,B,Homo sapiens,,Bioorg Med Chem Lett,2011,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.92,554.48,5.12
CHEMBL108645,8.4,COc1ccc(N2CCN(C(=O)Nc3ccc(OC)c(N4CCN(C)CC4)c3)CC2)cc1.O=C(O)/C=C/C(=O)O,Scientific Literature,Affinity for 5-hydroxytryptamine 1B receptor subtype,B,Homo sapiens,,Bioorg Med Chem Lett,1997,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.08,555.63,2.81
CHEMBL246598,3.981,CCN1C(=O)COc2ccc(CC3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc21,Scientific Literature,Displacement of [3H]5-HT from human recombinant 5HT1B receptor expressed in CHO cells,B,Homo sapiens,,Bioorg Med Chem Lett,2007,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.4,459.59,4.62
CHEMBL234448,91.0,C[C@@H]1CN(c2cccc3cc(F)ccc23)CCN1CC[C@H]1OCCc2cc(C(N)=O)ccc21,Scientific Literature,Displacement of [3H]GR-125743 from human 5HT1B expressed in LM(tk-) cells,B,Homo sapiens,,Bioorg Med Chem Lett,2007,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.04,447.55,4.29
CHEMBL183704,10240.0,Cc1cc([N+](=O)[O-])cc(C)c1NC1=NCCN1,Scientific Literature,Binding affinity towards human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2004,Serotonin 1b (5-HT1b) receptor,Ki,nM,4.99,234.26,1.58
CHEMBL1241738,0.7943,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nnc(C)n4-5)CC3)cccc2n1,Scientific Literature,Antagonist activity against human recombinant 5HT1B receptor expressed in CHO cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay,F,Homo sapiens,,J Med Chem,2010,Serotonin 1b (5-HT1b) receptor,Ki,nM,9.1,440.55,3.69
CHEMBL1241547,1.585,Cc1cn2c(n1)COc1c(CCN3CCN(c4cccc5nc(C)ccc45)CC3)cccc1-2,Scientific Literature,Antagonist activity against human recombinant 5HT1B receptor expressed in CHO cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay,F,Homo sapiens,,J Med Chem,2010,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.8,439.56,4.29
CHEMBL467094,100.0,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4,Scientific Literature,Displacement of [3H]GR127543 from human 5HT1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2010,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.0,339.39,3.18
CHEMBL196169,18.1,COc1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1N1CCN(C)CC1,Scientific Literature,In vitro binding affinity towards cloned human 5-HT1B receptor using [3H]5-carboximidotryptamine as radioligand,B,Homo sapiens,,Bioorg Med Chem Lett,2005,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.74,427.52,2.94
CHEMBL371655,31.62,CCCN1[C@H](C)CN(c2cc3c(cc2OC)CCN3C(=O)c2ccc(-c3cccc(C)n3)c3ccccc23)C[C@@H]1C,Scientific Literature,Binding affinity against cloned human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2005,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.5,548.73,6.73
